Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
32,Yes,Travel_Frequently,1125,Research & Development,16,1,Computer Science,1,33,2,Female,72,1,1,Data Scientist,1,Single,120114,4681,1,Y,Yes,22,4,2,80,0,10,5,3,10,2,6,7
42,No,Travel_Rarely,691,Sales,8,4,Electronics,1,35,3,Male,48,3,2,Software Engineer,2,Married,59084,21173,0,Y,No,11,3,4,80,1,10,2,3,9,7,4,2
44,No,Travel_Rarely,477,Research & Development,7,4,Information Technology,1,36,1,Female,42,2,3,Support Engineer,4,Married,55172,2094,3,Y,No,14,3,4,80,1,24,4,3,22,6,5,17
46,No,Travel_Rarely,705,Sales,2,4,Electronics,1,38,2,Female,83,3,5,Engineering Manager,1,Single,153094,22822,3,Y,No,12,3,4,80,0,22,2,2,2,2,2,1
33,No,Travel_Rarely,924,Research & Development,2,3,Information Technology,1,39,3,Male,78,3,1,QA Engineer,4,Single,48148,6670,4,Y,No,11,3,4,80,0,7,3,3,1,1,0,0
44,No,Travel_Rarely,1459,Research & Development,10,4,Civil,1,40,4,Male,41,3,2,Support Engineer,4,Married,44242,19121,2,Y,Yes,13,3,4,80,0,9,5,4,4,2,1,3
30,No,Travel_Rarely,125,Research & Development,9,2,Information Technology,1,41,4,Male,83,2,1,QA Engineer,3,Single,66022,16117,1,Y,No,13,3,1,80,0,10,5,3,10,0,1,8
39,Yes,Travel_Rarely,895,Sales,5,3,Mechanical,1,42,4,Male,56,3,2,Junior Developer,4,Married,37863,3335,3,Y,No,14,3,3,80,1,19,6,4,1,0,0,0
24,Yes,Travel_Rarely,813,Research & Development,1,3,Information Technology,1,45,2,Male,61,3,1,Data Scientist,4,Married,186515,3020,2,Y,Yes,16,3,1,80,1,6,2,2,2,0,2,0
43,No,Travel_Rarely,1273,Research & Development,2,2,Information Technology,1,46,4,Female,72,4,1,Data Scientist,3,Divorced,144632,21923,1,Y,No,12,3,4,80,2,6,3,2,5,3,1,4
50,Yes,Travel_Rarely,869,Sales,3,2,Electronics,1,47,1,Male,86,2,1,Junior Developer,3,Married,35413,3810,1,Y,Yes,14,3,3,80,0,3,2,3,3,2,0,2
35,No,Travel_Rarely,890,Sales,2,3,Electronics,1,49,4,Female,97,3,1,Junior Developer,4,Married,39209,9687,1,Y,No,13,3,1,80,0,2,3,3,2,2,2,2
36,No,Travel_Rarely,852,Research & Development,5,4,Computer Science,1,51,2,Female,82,2,1,Data Scientist,1,Married,188448,13072,9,Y,Yes,14,3,4,80,1,6,3,4,1,1,0,0
33,No,Travel_Frequently,1141,Sales,1,3,Computer Science,1,52,3,Female,42,4,2,Software Engineer,1,Married,63282,3193,2,Y,No,19,3,1,80,2,10,3,3,5,3,1,3
35,No,Travel_Rarely,464,Research & Development,4,2,Civil,1,53,3,Male,75,3,1,QA Engineer,4,Divorced,79545,10910,1,Y,No,12,3,3,80,1,1,3,3,1,0,0,0
27,No,Travel_Rarely,1240,Research & Development,2,4,Computer Science,1,54,4,Female,33,3,1,QA Engineer,1,Divorced,58335,19715,1,Y,No,13,3,4,80,1,1,6,3,1,0,0,0
26,Yes,Travel_Rarely,1357,Research & Development,25,3,Computer Science,1,55,1,Male,48,1,1,QA Engineer,3,Single,49473,10558,1,Y,No,12,3,3,80,0,1,2,2,1,0,0,1
27,No,Travel_Frequently,994,Sales,8,3,Computer Science,1,56,4,Male,37,3,3,Software Engineer,3,Single,51728,2975,1,Y,No,15,3,4,80,0,9,0,3,9,8,1,7
30,No,Travel_Frequently,721,Research & Development,1,2,Information Technology,1,57,3,Female,58,3,2,QA Engineer,4,Single,57148,10781,1,Y,No,23,4,4,80,0,12,2,3,12,8,3,7
41,Yes,Travel_Rarely,1360,Research & Development,12,3,Mechanical,1,58,2,Female,49,3,5,Tech Lead,3,Married,182475,16280,1,Y,No,12,3,4,80,0,23,0,3,22,15,15,8
34,No,Non-Travel,1065,Sales,23,4,Electronics,1,60,2,Male,72,3,2,Software Engineer,3,Single,90437,10034,0,Y,No,20,4,3,80,0,10,2,3,9,5,8,7
37,No,Travel_Rarely,408,Research & Development,19,2,Computer Science,1,61,2,Male,73,3,1,Data Scientist,2,Married,132381,10227,4,Y,No,21,4,1,80,0,8,1,3,1,0,0,0
46,No,Travel_Frequently,1211,Sales,5,4,Electronics,1,62,1,Male,98,3,2,Software Engineer,4,Single,84338,20445,4,Y,Yes,21,4,3,80,0,14,4,3,9,6,0,8
35,No,Travel_Rarely,1229,Research & Development,8,1,Computer Science,1,63,4,Male,36,4,1,QA Engineer,4,Married,61555,4892,1,Y,No,19,3,4,80,0,1,2,3,1,0,0,1
48,Yes,Travel_Rarely,626,Research & Development,1,2,Computer Science,1,64,1,Male,98,2,3,QA Engineer,3,Single,40073,19294,9,Y,Yes,13,3,4,80,0,23,2,3,1,0,0,0
28,Yes,Travel_Rarely,1434,Research & Development,5,4,Mechanical,1,65,3,Male,50,3,1,QA Engineer,3,Single,75911,11179,1,Y,Yes,13,3,3,80,0,2,3,2,2,2,2,2
44,No,Travel_Rarely,1488,Sales,1,5,Electronics,1,68,2,Female,75,3,2,Software Engineer,1,Divorced,99859,4009,5,Y,Yes,21,4,3,80,1,9,2,2,4,3,1,3
35,No,Non-Travel,1097,Research & Development,11,2,Information Technology,1,70,3,Male,79,2,3,Support Engineer,1,Married,53518,8302,2,Y,Yes,13,3,3,80,1,10,3,3,4,0,2,3
26,No,Travel_Rarely,1443,Sales,23,3,Electronics,1,72,3,Female,47,2,2,Software Engineer,4,Married,63491,21436,7,Y,Yes,19,3,3,80,1,5,2,2,2,2,0,0
33,No,Travel_Frequently,515,Research & Development,1,2,Computer Science,1,73,1,Female,98,3,3,Tech Lead,4,Single,155561,15146,1,Y,Yes,12,3,3,80,0,15,1,3,15,14,8,12
35,No,Travel_Frequently,853,Sales,18,5,Computer Science,1,74,2,Male,71,3,3,Software Engineer,1,Married,54395,11031,1,Y,No,22,4,4,80,1,9,3,2,9,8,1,8
35,No,Travel_Rarely,1142,Research & Development,23,4,Information Technology,1,75,3,Female,30,3,1,QA Engineer,1,Married,73460,16002,3,Y,Yes,15,3,3,80,1,4,3,3,2,2,2,2
31,No,Travel_Rarely,655,Research & Development,7,4,Computer Science,1,76,4,Male,48,3,2,QA Engineer,4,Divorced,48440,9528,3,Y,No,22,4,4,80,1,10,3,2,7,7,1,7
37,No,Travel_Rarely,1115,Research & Development,1,4,Computer Science,1,77,1,Male,51,2,2,DevOps Engineer,3,Divorced,146402,2689,1,Y,No,18,3,3,80,1,7,2,4,7,5,0,7
32,No,Travel_Rarely,427,Research & Development,1,3,Information Technology,1,78,1,Male,33,3,2,DevOps Engineer,4,Married,73213,10877,1,Y,Yes,22,4,2,80,1,9,3,3,9,8,7,8
38,No,Travel_Frequently,653,Research & Development,29,5,Computer Science,1,79,4,Female,50,3,2,QA Engineer,4,Single,47646,5456,1,Y,No,11,3,4,80,0,10,2,3,10,3,9,9
50,No,Travel_Rarely,989,Research & Development,7,2,Information Technology,1,80,2,Female,43,2,5,Tech Lead,3,Divorced,129843,16701,5,Y,Yes,12,3,4,80,1,29,2,2,27,3,13,8
59,No,Travel_Rarely,1435,Sales,25,3,Computer Science,1,81,1,Female,99,3,3,Software Engineer,1,Single,66422,2354,7,Y,No,11,3,4,80,0,28,3,2,21,16,7,9
36,No,Travel_Rarely,1223,Research & Development,8,3,Mechanical,1,83,3,Female,59,3,3,Support Engineer,3,Divorced,37707,8202,1,Y,No,13,3,2,80,3,17,2,3,17,14,12,8
55,No,Travel_Rarely,836,Research & Development,8,3,Information Technology,1,84,4,Female,33,3,4,Engineering Manager,3,Divorced,159072,19730,2,Y,Yes,14,3,3,80,3,21,2,3,5,0,0,2
36,No,Travel_Frequently,1195,Research & Development,11,3,Computer Science,1,85,2,Male,95,2,2,DevOps Engineer,2,Single,102272,22656,1,Y,No,13,3,3,80,0,6,3,3,6,5,0,3
45,No,Travel_Rarely,1339,Research & Development,7,3,Computer Science,1,86,2,Male,59,3,3,Data Scientist,1,Divorced,117758,18787,2,Y,No,17,3,3,80,1,25,2,3,1,0,0,0
35,No,Travel_Frequently,664,Research & Development,1,3,Information Technology,1,88,2,Male,79,3,1,Data Scientist,1,Married,179280,5868,4,Y,No,13,3,4,80,1,5,2,2,3,2,1,2
36,Yes,Travel_Rarely,318,Research & Development,9,3,Information Technology,1,90,4,Male,79,2,1,Data Scientist,3,Married,197751,21777,0,Y,Yes,17,3,1,80,1,2,0,2,1,0,0,0
59,No,Travel_Frequently,1225,Sales,1,1,Computer Science,1,91,1,Female,57,2,2,Software Engineer,3,Single,97863,24668,7,Y,No,11,3,4,80,0,20,2,2,4,3,1,3
29,No,Travel_Rarely,1328,Research & Development,2,3,Computer Science,1,94,3,Male,76,3,1,Data Scientist,2,Married,122480,4956,0,Y,No,23,4,4,80,1,6,3,3,5,4,0,4
31,No,Travel_Rarely,1082,Research & Development,1,4,Information Technology,1,95,3,Male,87,3,1,Data Scientist,2,Single,196066,18775,1,Y,No,17,3,2,80,0,1,4,3,1,1,1,0
32,No,Travel_Rarely,548,Research & Development,1,3,Computer Science,1,96,2,Male,66,3,2,Data Scientist,2,Married,111045,7346,1,Y,No,17,3,2,80,2,10,3,3,10,4,0,9
36,No,Travel_Rarely,132,Research & Development,6,3,Computer Science,1,97,2,Female,55,4,1,QA Engineer,4,Married,64533,22002,3,Y,No,12,3,2,80,0,5,3,3,1,0,0,0
31,No,Travel_Rarely,746,Research & Development,8,4,Computer Science,1,98,3,Female,61,3,2,DevOps Engineer,4,Single,140597,20682,1,Y,No,23,4,4,80,0,11,2,3,11,7,1,8
35,No,Travel_Rarely,776,Sales,1,4,Electronics,1,100,3,Male,32,2,2,Software Engineer,1,Single,93101,23016,0,Y,No,14,3,2,80,0,16,2,3,15,13,2,8
45,No,Travel_Rarely,193,Research & Development,6,4,Civil,1,101,4,Male,52,3,3,Tech Lead,1,Married,208519,15067,4,Y,Yes,14,3,2,80,0,17,3,4,0,0,0,0
37,No,Travel_Rarely,397,Research & Development,7,4,Information Technology,1,102,1,Male,30,3,3,Tech Lead,3,Single,156292,25258,4,Y,No,13,3,1,80,0,16,3,4,5,2,0,2
46,No,Travel_Rarely,945,Human Resources,5,2,Information Technology,1,103,2,Male,80,3,2,HR Manager,2,Divorced,69249,10425,8,Y,Yes,22,4,4,80,1,16,2,3,4,2,0,2
30,No,Travel_Rarely,852,Research & Development,1,1,Computer Science,1,104,4,Male,55,2,2,QA Engineer,4,Married,72773,15998,1,Y,Yes,12,3,3,80,2,10,1,2,10,8,3,0
35,No,Travel_Rarely,1214,Research & Development,1,3,Information Technology,1,105,2,Male,30,2,1,Data Scientist,3,Single,194102,26278,1,Y,No,18,3,1,80,0,6,3,3,6,4,0,4
55,No,Travel_Rarely,111,Sales,1,2,Computer Science,1,106,1,Male,70,3,3,Software Engineer,4,Married,89506,18092,3,Y,No,14,3,4,80,1,24,4,3,1,0,1,0
38,No,Non-Travel,573,Research & Development,6,3,Information Technology,1,107,2,Female,79,1,2,Data Scientist,4,Divorced,99383,15717,7,Y,Yes,12,3,4,80,3,17,3,3,13,11,1,9
34,No,Travel_Rarely,1153,Research & Development,1,2,Information Technology,1,110,1,Male,94,3,2,DevOps Engineer,2,Married,139613,17736,1,Y,No,15,3,3,80,0,5,2,3,5,2,1,3
56,No,Travel_Rarely,1400,Research & Development,7,3,Computer Science,1,112,4,Male,49,1,3,DevOps Engineer,4,Single,103771,21698,4,Y,No,11,3,1,80,0,37,3,2,6,4,0,2
23,No,Travel_Rarely,541,Sales,2,1,Mechanical,1,113,3,Male,62,3,1,Junior Developer,1,Divorced,37644,9518,3,Y,No,13,3,3,80,1,3,3,3,0,0,0,0
51,No,Travel_Rarely,432,Research & Development,9,4,Computer Science,1,116,4,Male,96,3,1,QA Engineer,4,Married,64074,18725,3,Y,No,23,4,2,80,2,10,4,3,4,2,0,3
30,No,Travel_Rarely,288,Research & Development,2,3,Computer Science,1,117,3,Male,99,2,2,Support Engineer,4,Married,49928,15830,1,Y,No,19,3,1,80,3,11,3,3,11,10,10,8
46,Yes,Travel_Rarely,669,Sales,9,2,Information Technology,1,118,3,Male,64,2,3,Software Engineer,4,Single,75547,13596,1,Y,No,16,3,4,80,0,9,3,3,9,8,4,7
40,No,Travel_Frequently,530,Research & Development,1,4,Computer Science,1,119,3,Male,78,2,4,Support Engineer,2,Married,30224,14115,1,Y,No,22,4,4,80,1,22,3,2,22,3,11,11
51,No,Travel_Rarely,632,Sales,21,4,Electronics,1,120,3,Male,71,3,2,Software Engineer,4,Single,69954,8423,0,Y,Yes,22,4,4,80,0,11,2,1,10,7,1,0
30,No,Travel_Rarely,1334,Sales,4,2,Information Technology,1,121,3,Female,63,2,2,Software Engineer,2,Divorced,92073,19760,1,Y,Yes,12,3,2,80,3,11,4,2,11,8,2,7
46,No,Travel_Frequently,638,Research & Development,1,3,Information Technology,1,124,3,Male,40,2,3,Support Engineer,1,Married,59838,3142,2,Y,Yes,13,3,3,80,1,21,5,2,10,9,9,5
32,No,Travel_Rarely,1093,Sales,6,4,Information Technology,1,125,2,Male,87,3,2,Software Engineer,3,Single,88432,24301,1,Y,No,16,3,1,80,0,12,0,3,11,8,5,7
54,No,Travel_Rarely,1217,Research & Development,2,4,Mechanical,1,126,1,Female,60,3,3,Tech Lead,3,Married,140790,24001,9,Y,No,12,3,1,80,1,16,5,1,4,3,0,3
24,No,Travel_Rarely,1353,Sales,3,2,Civil,1,128,1,Female,33,3,2,Software Engineer,3,Married,63205,17519,0,Y,No,21,4,1,80,1,4,2,2,3,2,0,2
28,No,Non-Travel,120,Sales,4,3,Information Technology,1,129,2,Male,43,3,2,Software Engineer,3,Married,96716,8863,1,Y,No,15,3,2,80,0,5,3,4,5,4,0,4
58,No,Travel_Rarely,682,Sales,10,4,Information Technology,1,131,4,Male,37,3,4,Software Engineer,3,Single,91425,24409,0,Y,No,13,3,3,80,0,38,1,2,37,10,1,8
44,No,Non-Travel,489,Research & Development,23,3,Information Technology,1,132,2,Male,67,3,2,QA Engineer,2,Married,51939,25043,4,Y,No,12,3,3,80,1,17,3,4,3,2,1,2
37,Yes,Travel_Rarely,807,Human Resources,6,4,Business Administration,1,133,3,Male,63,3,1,HR Manager,1,Divorced,117803,23648,4,Y,Yes,22,4,4,80,0,7,3,3,3,2,0,2
32,No,Travel_Rarely,827,Research & Development,1,1,Computer Science,1,134,4,Male,71,3,1,Data Scientist,1,Single,159297,15178,1,Y,No,13,3,4,80,0,1,2,3,1,0,0,0
20,Yes,Travel_Frequently,871,Research & Development,6,3,Computer Science,1,137,4,Female,66,2,1,QA Engineer,4,Single,70927,19783,1,Y,Yes,18,3,2,80,0,1,5,3,1,0,1,0
34,No,Travel_Rarely,665,Research & Development,6,4,Civil,1,138,1,Female,41,3,2,Data Scientist,3,Single,151268,12482,1,Y,No,14,3,3,80,0,16,3,3,16,13,2,10
37,No,Non-Travel,1040,Research & Development,2,2,Computer Science,1,139,3,Male,100,2,2,Support Engineer,4,Divorced,31386,15850,5,Y,No,14,3,4,80,1,17,2,4,1,0,0,0
59,No,Non-Travel,1420,Human Resources,2,4,Business Administration,1,140,3,Female,32,2,5,Engineering Manager,4,Married,211803,21922,9,Y,No,21,4,4,80,1,30,3,3,3,2,2,2
50,No,Travel_Frequently,1115,Research & Development,1,3,Computer Science,1,141,1,Female,73,3,5,Tech Lead,2,Married,248439,9755,3,Y,Yes,19,3,1,80,0,28,1,2,8,3,0,7
25,Yes,Travel_Rarely,240,Sales,5,3,Electronics,1,142,3,Male,46,2,2,Software Engineer,3,Single,59280,26959,1,Y,Yes,11,3,4,80,0,6,1,3,6,4,0,3
25,No,Travel_Rarely,1280,Research & Development,7,1,Information Technology,1,143,4,Male,64,2,1,Data Scientist,4,Married,89280,26897,1,Y,No,11,3,3,80,2,2,2,3,2,2,2,1
22,No,Travel_Rarely,534,Research & Development,15,3,Information Technology,1,144,2,Female,59,3,1,QA Engineer,4,Single,58204,23785,1,Y,No,15,3,3,80,0,1,5,3,0,0,0,0
51,No,Travel_Frequently,1456,Research & Development,1,4,Information Technology,1,145,1,Female,30,2,3,Support Engineer,1,Single,50374,25796,3,Y,No,20,4,3,80,0,23,1,2,13,12,12,8
34,Yes,Travel_Frequently,658,Research & Development,7,3,Computer Science,1,147,1,Male,66,1,2,QA Engineer,3,Single,44721,22887,1,Y,Yes,24,4,4,80,0,9,3,3,9,7,0,6
54,No,Non-Travel,142,Human Resources,26,3,Business Administration,1,148,4,Female,30,4,4,Engineering Manager,4,Single,264154,13871,2,Y,Yes,12,3,3,80,0,23,3,3,5,3,4,4
24,No,Travel_Rarely,1127,Research & Development,18,1,Computer Science,1,150,2,Male,52,3,1,QA Engineer,3,Married,58891,13257,0,Y,No,12,3,3,80,1,6,2,3,5,3,1,2
34,No,Travel_Rarely,1031,Research & Development,6,4,Computer Science,1,151,3,Female,45,2,2,Data Scientist,2,Divorced,134401,15000,6,Y,No,15,3,3,80,1,12,3,3,1,0,0,0
37,No,Travel_Rarely,1189,Sales,3,3,Computer Science,1,152,3,Male,87,3,3,Software Engineer,4,Single,76978,14506,2,Y,No,12,3,1,80,0,12,3,3,5,3,1,3
34,No,Travel_Rarely,1354,Research & Development,5,3,Information Technology,1,153,3,Female,45,2,3,Engineering Manager,1,Single,271689,5615,2,Y,No,12,3,4,80,0,14,6,3,11,10,5,8
36,No,Travel_Frequently,1467,Sales,11,2,Mechanical,1,154,2,Female,92,3,3,Software Engineer,4,Married,63146,22952,0,Y,No,14,3,3,80,1,10,6,3,9,7,2,8
36,No,Travel_Rarely,922,Research & Development,3,2,Computer Science,1,155,1,Female,39,3,1,QA Engineer,4,Divorced,44517,2561,5,Y,No,22,4,1,80,1,7,2,3,1,0,0,0
43,No,Travel_Frequently,394,Sales,26,2,Computer Science,1,158,3,Male,92,3,4,Engineering Manager,4,Married,154378,19494,1,Y,Yes,12,3,4,80,2,25,3,4,25,12,4,12
30,No,Travel_Frequently,1312,Research & Development,23,3,Computer Science,1,159,1,Male,96,1,1,Data Scientist,3,Divorced,162049,22310,1,Y,No,25,4,3,80,3,10,2,2,10,7,0,9
33,No,Non-Travel,750,Sales,22,2,Electronics,1,160,3,Male,95,3,2,Software Engineer,2,Married,75618,15480,0,Y,No,13,3,1,80,1,8,2,4,7,7,0,7
56,Yes,Travel_Rarely,441,Research & Development,14,4,Computer Science,1,161,2,Female,72,3,1,Data Scientist,2,Married,161189,4510,9,Y,Yes,18,3,1,80,3,7,2,3,5,4,4,3
51,No,Travel_Rarely,684,Research & Development,6,3,Computer Science,1,162,1,Male,51,3,5,Tech Lead,3,Single,202089,6462,7,Y,No,13,3,3,80,0,23,5,3,20,18,15,15
31,Yes,Travel_Rarely,249,Sales,6,4,Computer Science,1,163,2,Male,76,1,2,Software Engineer,3,Married,99441,20739,4,Y,Yes,18,3,2,80,0,12,3,2,7,7,7,7
26,No,Travel_Rarely,841,Research & Development,6,3,Civil,1,164,3,Female,46,2,1,Data Scientist,2,Married,181806,23300,1,Y,No,19,3,3,80,0,5,3,2,5,4,4,3
58,Yes,Travel_Rarely,147,Research & Development,23,4,Information Technology,1,165,4,Female,94,3,3,Support Engineer,4,Married,48948,3465,1,Y,No,12,3,4,80,1,40,3,2,40,10,15,6
19,Yes,Travel_Rarely,528,Sales,22,1,Electronics,1,167,4,Male,50,3,1,Junior Developer,3,Single,49717,26820,1,Y,Yes,19,3,4,80,0,0,2,2,0,0,0,0
22,No,Travel_Rarely,594,Research & Development,2,1,Mechanical,1,169,3,Male,100,3,1,QA Engineer,4,Married,53743,19299,0,Y,No,14,3,3,80,1,3,2,3,2,1,2,1
49,No,Travel_Rarely,470,Research & Development,20,4,Information Technology,1,170,3,Female,96,3,2,DevOps Engineer,1,Married,76027,5549,1,Y,No,14,3,3,80,0,16,2,2,15,11,5,11
43,No,Travel_Frequently,957,Research & Development,28,3,Information Technology,1,171,2,Female,72,4,1,Data Scientist,3,Single,131944,16090,4,Y,No,12,3,4,80,0,18,2,3,3,2,1,2
50,No,Travel_Frequently,809,Sales,12,3,Electronics,1,174,3,Female,77,3,3,Software Engineer,4,Single,92173,6645,4,Y,No,11,3,4,80,0,16,3,3,2,2,2,1
31,Yes,Travel_Rarely,542,Sales,20,3,Computer Science,1,175,2,Female,71,1,2,Software Engineer,3,Married,66102,24788,3,Y,Yes,11,3,3,80,1,4,2,3,2,2,2,2
41,No,Travel_Rarely,802,Sales,9,1,Computer Science,1,176,3,Male,96,3,3,Software Engineer,3,Divorced,66948,21196,3,Y,Yes,13,3,3,80,1,12,2,3,9,7,0,7
26,No,Travel_Rarely,1355,Human Resources,25,1,Computer Science,1,177,3,Female,61,3,1,HR Manager,3,Married,107332,8916,1,Y,No,23,4,4,80,1,8,3,3,8,7,5,7
36,No,Travel_Rarely,216,Research & Development,6,2,Information Technology,1,178,2,Male,84,3,2,DevOps Engineer,2,Divorced,79678,2819,6,Y,No,20,4,4,80,2,7,0,3,3,2,0,1
51,Yes,Travel_Frequently,1150,Research & Development,8,4,Computer Science,1,179,1,Male,53,1,3,DevOps Engineer,4,Single,129722,25150,2,Y,No,15,3,4,80,0,18,2,3,4,2,0,3
39,No,Travel_Rarely,1329,Sales,4,4,Computer Science,1,182,4,Female,47,2,2,Software Engineer,3,Married,92743,14590,4,Y,No,14,3,3,80,1,17,1,4,15,11,5,9
25,No,Travel_Rarely,959,Sales,28,3,Computer Science,1,183,1,Male,41,2,2,Software Engineer,3,Married,89413,24835,2,Y,No,18,3,4,80,0,6,3,3,2,2,2,2
